mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_pca__n_components,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.0031279325485229492,3.4928321838378906e-05,0.0010499954223632812,5.817413330078125e-05,0.03148911647956861,0.7,"{'clf__C': np.float64(0.03148911647956861), 'pca__n_components': 0.7}",0.5986071027737694,0.8689574314574315,0.7337822671156005,0.13517516434183108,50
0.0030069351196289062,0.0001270771026611328,0.0009870529174804688,5.0067901611328125e-05,0.0054167545832474575,0.95,"{'clf__C': np.float64(0.0054167545832474575), 'pca__n_components': 0.95}",0.8503848003848005,0.8324295587453483,0.8414071795650744,0.008977620819726084,15
0.0032209157943725586,0.00016510486602783203,0.0009452104568481445,1.0728836059570312e-06,0.24810409748678125,0.9,"{'clf__C': np.float64(0.24810409748678125), 'pca__n_components': 0.9}",0.7503986209868563,0.7799523708614619,0.765175495924159,0.014776874937302786,45
0.0037064552307128906,0.00048661231994628906,0.0013333559036254883,0.0003553628921508789,0.06071989493441298,0.9,"{'clf__C': np.float64(0.06071989493441298), 'pca__n_components': 0.9}",0.7997312872312874,0.7710858585858587,0.785408572908573,0.01432271432271437,37
0.0031450986862182617,4.398822784423828e-05,0.001096487045288086,0.00012636184692382812,0.0017073967431528124,0.95,"{'clf__C': np.float64(0.0017073967431528124), 'pca__n_components': 0.95}",0.8028609734492089,0.8752820411911322,0.8390715073201706,0.036210533870961625,21
0.0037888288497924805,0.0010448694229125977,0.00091552734375,2.765655517578125e-05,0.02161894240657444,0.95,"{'clf__C': np.float64(0.02161894240657444), 'pca__n_components': 0.95}",0.8671075837742506,0.8247686953569306,0.8459381395655906,0.02116944420865996,12
0.0038160085678100586,6.902217864990234e-05,0.0009884834289550781,3.147125244140625e-05,0.679657809075816,0.8,"{'clf__C': np.float64(0.679657809075816), 'pca__n_components': 0.8}",0.8153759820426487,0.7635142635142637,0.7894451227784562,0.02593085926419253,35
0.0030584335327148438,0.00016260147094726562,0.0010315179824829102,0.0001024007797241211,0.0016813042706040674,0.95,"{'clf__C': np.float64(0.0016813042706040674), 'pca__n_components': 0.95}",0.8028609734492089,0.8752820411911322,0.8390715073201706,0.036210533870961625,21
0.0032843351364135742,4.947185516357422e-05,0.0009461641311645508,7.987022399902344e-06,2.1368329072358767,0.8,"{'clf__C': np.float64(2.1368329072358767), 'pca__n_components': 0.8}",0.7751563251563252,0.7872057235693599,0.7811810243628425,0.006024699206517381,43
0.0029189586639404297,0.00010704994201660156,0.00099945068359375,3.0517578125e-05,0.0010071984838809194,0.95,"{'clf__C': np.float64(0.0010071984838809194), 'pca__n_components': 0.95}",0.7909062614944968,0.8752820411911322,0.8330941513428145,0.04218788984831767,27
0.0027669668197631836,4.8041343688964844e-05,0.0009413957595825195,3.8504600524902344e-05,0.00541524411940254,0.95,"{'clf__C': np.float64(0.00541524411940254), 'pca__n_components': 0.95}",0.8503848003848005,0.8324295587453483,0.8414071795650744,0.008977620819726084,15
0.0027295351028442383,2.5033950805664062e-06,0.001383066177368164,6.794929504394531e-05,0.27964859516062457,0.7,"{'clf__C': np.float64(0.27964859516062457), 'pca__n_components': 0.7}",0.6355197070776781,0.8304957668594033,0.7330077369685407,0.09748802989086258,52
0.0025905370712280273,1.3470649719238281e-05,0.000994563102722168,2.0384788513183594e-05,0.05342937261279776,0.7,"{'clf__C': np.float64(0.05342937261279776), 'pca__n_components': 0.7}",0.6109165324745035,0.8520382395382395,0.7314773860063715,0.12056085353186802,55
0.00285947322845459,1.2516975402832031e-05,0.0009483098983764648,2.6345252990722656e-05,0.12563152773938666,0.9,"{'clf__C': np.float64(0.12563152773938666), 'pca__n_components': 0.9}",0.7781806156806157,0.792915417915418,0.7855480167980169,0.00736740111740114,36
0.0026994943618774414,4.649162292480469e-06,0.0009385347366333008,2.467632293701172e-05,0.003613894271216527,0.95,"{'clf__C': np.float64(0.003613894271216527), 'pca__n_components': 0.95}",0.8414562289562291,0.8664436573527483,0.8539499431544887,0.01249371419825962,3
0.0032999515533447266,6.198883056640625e-05,0.0009552240371704102,3.993511199951172e-05,7.8527554947242555,0.9,"{'clf__C': np.float64(7.8527554947242555), 'pca__n_components': 0.9}",0.5941499495421064,0.8678145087235997,0.730982229132853,0.13683227959074662,56
0.0031893253326416016,0.0003826618194580078,0.0011185407638549805,7.641315460205078e-05,0.06672367170464207,0.9,"{'clf__C': np.float64(0.06672367170464207), 'pca__n_components': 0.9}",0.7997312872312874,0.7710858585858587,0.785408572908573,0.01432271432271437,37
0.003017425537109375,0.0001914501190185547,0.0009002685546875,1.3113021850585938e-05,0.2975390947349387,0.95,"{'clf__C': np.float64(0.2975390947349387), 'pca__n_components': 0.95}",0.8907627865961201,0.8031551781551781,0.8469589823756491,0.04380380422047098,9
0.0036280155181884766,0.000988006591796875,0.0009649991989135742,5.4001808166503906e-05,0.11400863701127326,0.95,"{'clf__C': np.float64(0.11400863701127326), 'pca__n_components': 0.95}",0.9134479717813051,0.7965436079072442,0.8549957898442746,0.058452181937030445,2
0.0029615163803100586,0.00040853023529052734,0.0010144710540771484,4.0531158447265625e-05,0.07362945281639216,0.7,"{'clf__C': np.float64(0.07362945281639216), 'pca__n_components': 0.7}",0.6083174421561149,0.8315738554374918,0.7199456487968035,0.11162820664068845,57
