,0
treasury_spread_lag6,0.37517792
treasury_spread_lag3,0.083109766
housing_lag3,0.056174804
unrate_lag3,0.053219493
housing_yoy,0.04726352
treasury_spread_lag12,0.04272395
unrate_d12,0.042046655
unrate_lag12,0.041935004
housing_lag6,0.041363128
unrate_lag6,0.034319002
cpi_yoy,0.02753827
indpro_yoy,0.027281148
housing_lag12,0.021618893
indpro_lag6,0.021012843
indpro_lag3,0.012462121
treasury_spread_d12,0.011718193
sentiment_lag6,0.011305884
treasury_spread_d1,0.010968267
cpi_m1,0.009583455
unrate_d1,0.0069508175
cpi_lag3,0.0060292124
housing_m1,0.005670867
sentiment_lag12,0.0046699042
sentiment_lag3,0.004090424
sentiment_yoy,0.0017663736
indpro_lag12,0.0
cpi_lag12,0.0
sentiment_m1,0.0
indpro_m1,0.0
cpi_lag6,0.0
